iter	RMSE
0	12.91217
1	12.49662666
2	12.03647536
3	11.54479318
4	11.12230337
5	10.68073582
6	10.25372397
7	9.874713025
8	9.499871521
9	9.155795593
10	8.853358035
11	8.546621989
12	8.246116394
13	7.953011773
14	7.695758262
15	7.416875877
16	7.18739801
17	6.935624476
18	6.728979645
19	6.515976467
20	6.325616939
21	6.128978593
22	5.957487945
23	5.803280421
24	5.631546908
25	5.479454134
26	5.324090035
27	5.180902117
28	5.049963566
29	4.91705504
30	4.802932711
31	4.685859776
32	4.57620098
33	4.476614663
34	4.382040944
35	4.296877772
36	4.21404335
37	4.130165118
38	4.057623076
39	3.989084412
40	3.922784153
41	3.863571558
42	3.81021163
43	3.755729097
44	3.71217772
45	3.669513427
46	3.621155006
47	3.579791217
48	3.546582917
49	3.507967511
50	3.476177712
51	3.447946982
52	3.418241152
53	3.388129639
54	3.36404749
55	3.33967049
56	3.314445232
57	3.295497948
58	3.273599572
59	3.255000095
60	3.235576477
61	3.220456678
62	3.203352191
63	3.186828899
64	3.167572332
65	3.154528398
66	3.140396586
67	3.13043004
68	3.116427462
69	3.100908443
70	3.088260559
71	3.076283939
72	3.062539074
73	3.056500598
74	3.047533497
75	3.037323895
76	3.029746144
77	3.019816676
78	3.00874278
79	2.997950873
80	2.990448888
81	2.982136419
82	2.974935557
83	2.967563601
84	2.960818985
85	2.95255622
86	2.94131237
87	2.936921664
88	2.929420087
89	2.923305102
90	2.917970978
91	2.913180847
92	2.907582299
93	2.902592988
94	2.895984361
95	2.889824195
96	2.884832361
97	2.879734458
98	2.873312
99	2.868106615
100	2.865270863
101	2.860916312
102	2.853186613
103	2.849891854
104	2.844266814
105	2.8406107
106	2.836175235
107	2.833679749
108	2.830309884
109	2.824196531
110	2.820198231
111	2.816967943
112	2.813959151
113	2.807754169
114	2.804895901
115	2.801073168
116	2.797569063
117	2.793658831
118	2.791759378
119	2.78980313
120	2.785790683
121	2.782671743
122	2.779245868
123	2.775587225
124	2.768832892
125	2.764000864
126	2.758651591
127	2.756113005
128	2.753455676
129	2.749174949
130	2.745937722
131	2.741282176
132	2.736984543
133	2.730569956
134	2.721848623
135	2.717313347
136	2.713074493
137	2.710337874
138	2.706418223
139	2.7024333
140	2.699242306
141	2.694976871
142	2.691139607
143	2.685927608
144	2.679608941
145	2.676022926
146	2.671759904
147	2.667343548
148	2.664255816
149	2.662489211
150	2.658733372
151	2.654598553
152	2.650037752
153	2.647545394
154	2.64119801
155	2.636297218
156	2.63302689
157	2.630457453
158	2.62954107
159	2.625919174
160	2.623841085
161	2.619593579
162	2.615973514
163	2.613506023
164	2.608782368
165	2.606813148
166	2.604221045
167	2.598124415
168	2.596488854
169	2.593964682
170	2.588047033
171	2.584577713
172	2.580867065
173	2.57684644
174	2.572749688
175	2.568186265
176	2.567147155
177	2.565031672
178	2.562945126
179	2.557237121
180	2.555645888
181	2.554050085
182	2.550361338
183	2.547433668
184	2.544716323
185	2.539565716
186	2.539189109
187	2.534171044
188	2.531153655
189	2.528183932
190	2.522779437
191	2.521904539
192	2.518738686
193	2.515759153
194	2.51229089
195	2.506785123
196	2.501833881
197	2.498091602
198	2.496340464
199	2.492657338
200	2.485403714
201	2.480351393
202	2.477050429
203	2.472457745
204	2.468120652
205	2.466860539
206	2.463227357
207	2.459158736
208	2.456209518
209	2.451797447
210	2.447239147
211	2.444418605
212	2.438493171
213	2.432411935
214	2.428653991
215	2.422329477
216	2.42075383
217	2.420156062
218	2.419176899
219	2.41696307
220	2.416552532
221	2.412481248
222	2.406650558
223	2.406311357
224	2.401343924
225	2.396932134
226	2.395431532
227	2.391760378
228	2.390658111
229	2.390044538
230	2.385814865
231	2.381412566
232	2.378974731
233	2.374186201
234	2.37135392
235	2.366725948
236	2.36435296
237	2.363097395
238	2.359804007
239	2.355933484
240	2.351520821
241	2.349157182
242	2.346714199
243	2.344078925
244	2.341678586
245	2.33981145
246	2.334288003
247	2.331415709
248	2.32751815
249	2.323720304
250	2.319561308
251	2.317575244
252	2.31632732
253	2.313893794
254	2.309764991
255	2.305540949
256	2.301674722
257	2.299740029
258	2.297518091
259	2.294835635
260	2.291125609
261	2.285384709
262	2.284814839
263	2.281233143
264	2.278689197
265	2.27577525
266	2.271738997
267	2.267571373
268	2.263764181
269	2.260760093
270	2.259655168
271	2.257599308
272	2.255717642
273	2.253311504
274	2.250929179
275	2.247175517
276	2.243146028
277	2.240732009
278	2.238115588
279	2.235171155
280	2.231365819
281	2.226725794
282	2.22550885
283	2.221975222
284	2.22007281
285	2.214359574
286	2.210566837
287	2.207211797
288	2.206302773
289	2.20548923
290	2.201814641
291	2.198207587
292	2.198037161
293	2.194350085
294	2.194156211
295	2.192196668
296	2.190769047
297	2.187451578
298	2.182198561
299	2.180749839
