iter	Passed	Remaining
0	59	5865
1	59	2923
2	60	1942
3	60	1451
4	60	1156
5	61	959
6	61	819
7	62	713
8	62	631
9	62	565
10	63	511
11	63	465
12	63	427
13	64	394
14	64	366
15	65	341
16	65	319
17	65	299
18	66	282
19	66	266
20	66	251
21	67	238
22	67	225
23	67	214
24	68	204
25	68	195
26	68	186
27	69	178
28	69	170
29	69	163
30	70	156
31	70	150
32	71	144
33	71	138
34	71	133
35	72	128
36	72	123
37	72	118
38	73	114
39	73	110
40	73	106
41	74	102
42	74	98
43	74	95
44	75	91
45	75	88
46	75	85
47	76	82
48	76	79
49	77	77
50	77	74
51	77	71
52	78	69
53	78	66
54	78	64
55	79	62
56	79	59
57	79	57
58	80	55
59	80	53
60	80	51
61	81	49
62	81	47
63	82	46
64	82	44
65	82	42
66	83	40
67	83	39
68	83	37
69	84	36
70	84	34
71	84	32
72	85	31
73	85	30
74	85	28
75	86	27
76	86	25
77	86	24
78	87	23
79	87	21
80	88	20
81	88	19
82	88	18
83	89	16
84	89	15
85	89	14
86	90	13
87	90	12
88	90	11
89	91	10
90	91	9
91	91	7
92	92	6
93	92	5
94	92	4
95	93	3
96	93	2
97	93	1
98	94	0
99	94	0
